,Source,Referal,Medium,Date,Sessions
180,bimswarm.de,referral,desktop,2023-02-14,8
90,(direct),(none),desktop,2023-02-14,10
1172,facebook.com,referral,desktop,2023-02-14,1
89,(direct),(none),desktop,2023-02-13,10
772,google,organic,desktop,2023-02-13,2
422,bimswarm.de,referral,desktop,2023-02-13,4
1001,baidu,organic,mobile,2023-02-13,1
851,(direct),(none),desktop,2023-02-12,1
480,(direct),(none),desktop,2023-02-11,3
761,facebook.com,referral,desktop,2023-02-11,2
794,jira.adesso.de,referral,desktop,2023-02-10,2
682,bimswarm.de,referral,desktop,2023-02-10,2
164,(direct),(none),desktop,2023-02-10,8
815,planen-bauen40.de,referral,desktop,2023-02-09,2
525,bimswarm.de,referral,desktop,2023-02-09,3
252,(direct),(none),desktop,2023-02-09,6
421,bimswarm.de,referral,desktop,2023-02-08,4
957,(not set),(not set),desktop,2023-02-08,1
604,(direct),(none),desktop,2023-02-08,2
379,(direct),(none),desktop,2023-02-07,4
420,bimswarm.de,referral,desktop,2023-02-07,4
419,bimswarm.de,referral,desktop,2023-02-06,4
163,(direct),(none),desktop,2023-02-06,8
956,(not set),(not set),desktop,2023-02-05,1
850,(direct),(none),desktop,2023-02-05,1
1020,bimswarm.de,referral,desktop,2023-02-05,1
603,(direct),(none),desktop,2023-02-04,2
1283,jira.adesso.de,referral,desktop,2023-02-03,1
849,(direct),(none),desktop,2023-02-03,1
524,bimswarm.de,referral,desktop,2023-02-03,3
201,(direct),(none),desktop,2023-02-02,7
1171,facebook.com,referral,desktop,2023-02-02,1
275,bimswarm.de,referral,desktop,2023-02-02,6
576,jira.adesso.de,referral,desktop,2023-02-02,3
511,(not set),(not set),desktop,2023-02-02,3
162,(direct),(none),desktop,2023-02-01,8
563,google,organic,desktop,2023-02-01,3
1170,facebook.com,referral,desktop,2023-02-01,1
335,bimswarm.de,referral,desktop,2023-02-01,5
1265,google,organic,mobile,2023-01-31,1
1343,startconsult.everythink.co,referral,desktop,2023-01-31,1
274,bimswarm.de,referral,desktop,2023-01-31,6
298,(direct),(none),desktop,2023-01-31,5
955,(not set),(not set),desktop,2023-01-31,1
1003,baugewerbe-digital.de,referral,desktop,2023-01-30,1
1169,facebook.com,referral,desktop,2023-01-30,1
297,(direct),(none),desktop,2023-01-30,5
681,bimswarm.de,referral,desktop,2023-01-30,2
848,(direct),(none),desktop,2023-01-29,1
479,(direct),(none),desktop,2023-01-28,3
680,bimswarm.de,referral,desktop,2023-01-28,2
1296,linkedin.com,referral,desktop,2023-01-28,1
445,bimswarm.de,referral,mobile,2023-01-27,4
667,baugewerbe-digital.de,referral,desktop,2023-01-27,2
200,(direct),(none),desktop,2023-01-27,7
1224,google,organic,desktop,2023-01-27,1
82,bimswarm.de,referral,desktop,2023-01-27,11
893,(direct),(none),mobile,2023-01-27,1
334,bimswarm.de,referral,desktop,2023-01-26,5
296,(direct),(none),desktop,2023-01-26,5
1282,jira.adesso.de,referral,desktop,2023-01-26,1
679,bimswarm.de,referral,desktop,2023-01-25,2
113,bimswarm.de,referral,desktop,2023-01-24,10
378,(direct),(none),desktop,2023-01-24,4
847,(direct),(none),desktop,2023-01-23,1
1281,jira.adesso.de,referral,desktop,2023-01-23,1
846,(direct),(none),desktop,2023-01-22,1
892,(direct),(none),mobile,2023-01-22,1
251,(direct),(none),desktop,2023-01-20,6
1280,jira.adesso.de,referral,desktop,2023-01-20,1
225,bimswarm.de,referral,desktop,2023-01-20,7
1264,google,organic,mobile,2023-01-19,1
1223,google,organic,desktop,2023-01-19,1
523,bimswarm.de,referral,desktop,2023-01-19,3
891,(direct),(none),mobile,2023-01-19,1
250,(direct),(none),desktop,2023-01-19,6
725,bimswarm.de,referral,mobile,2023-01-18,2
249,(direct),(none),desktop,2023-01-18,6
801,linkedin.com,referral,desktop,2023-01-18,2
224,bimswarm.de,referral,desktop,2023-01-18,7
199,(direct),(none),desktop,2023-01-17,7
890,(direct),(none),mobile,2023-01-17,1
800,linkedin.com,referral,desktop,2023-01-17,2
814,planen-bauen40.de,referral,desktop,2023-01-17,2
418,bimswarm.de,referral,desktop,2023-01-17,4
450,google,organic,desktop,2023-01-16,4
417,bimswarm.de,referral,desktop,2023-01-16,4
377,(direct),(none),desktop,2023-01-16,4
845,(direct),(none),desktop,2023-01-15,1
844,(direct),(none),desktop,2023-01-14,1
248,(direct),(none),desktop,2023-01-13,6
889,(direct),(none),mobile,2023-01-13,1
333,bimswarm.de,referral,desktop,2023-01-13,5
161,(direct),(none),desktop,2023-01-12,8
733,bimswarm.de,referral,tablet,2023-01-12,2
771,google,organic,desktop,2023-01-12,2
151,bimswarm.de,referral,desktop,2023-01-12,9
416,bimswarm.de,referral,desktop,2023-01-11,4
602,(direct),(none),desktop,2023-01-11,2
247,(direct),(none),desktop,2023-01-10,6
332,bimswarm.de,referral,desktop,2023-01-10,5
1000,baidu,organic,mobile,2023-01-10,1
601,(direct),(none),desktop,2023-01-09,2
273,bimswarm.de,referral,desktop,2023-01-09,6
478,(direct),(none),desktop,2023-01-08,3
1105,bimswarm.de,referral,tablet,2023-01-08,1
843,(direct),(none),desktop,2023-01-07,1
1222,google,organic,desktop,2023-01-06,1
1330,planen-bauen40.de,referral,desktop,2023-01-06,1
842,(direct),(none),desktop,2023-01-06,1
522,bimswarm.de,referral,desktop,2023-01-06,3
1271,google,organic,tablet,2023-01-05,1
1329,planen-bauen40.de,referral,desktop,2023-01-05,1
600,(direct),(none),desktop,2023-01-05,2
678,bimswarm.de,referral,desktop,2023-01-05,2
246,(direct),(none),desktop,2023-01-04,6
272,bimswarm.de,referral,desktop,2023-01-04,6
1104,bimswarm.de,referral,tablet,2023-01-03,1
521,bimswarm.de,referral,desktop,2023-01-03,3
599,(direct),(none),desktop,2023-01-03,2
1263,google,organic,mobile,2023-01-03,1
813,planen-bauen40.de,referral,desktop,2023-01-02,2
841,(direct),(none),desktop,2023-01-02,1
981,5lcue.r.a.d.sendibm1.com,referral,desktop,2023-01-02,1
840,(direct),(none),desktop,2022-12-30,1
1328,planen-bauen40.de,referral,desktop,2022-12-29,1
1019,bimswarm.de,referral,desktop,2022-12-29,1
245,(direct),(none),desktop,2022-12-28,6
1068,bimswarm.de,referral,mobile,2022-12-28,1
677,bimswarm.de,referral,desktop,2022-12-28,2
1018,bimswarm.de,referral,desktop,2022-12-27,1
1355,tasks.office.com,referral,desktop,2022-12-27,1
1274,ingenieurbau-online.de,referral,desktop,2022-12-26,1
1017,bimswarm.de,referral,desktop,2022-12-26,1
839,(direct),(none),desktop,2022-12-26,1
629,(direct),(none),mobile,2022-12-26,2
1273,ingenieurbau-online.de,referral,desktop,2022-12-25,1
598,(direct),(none),desktop,2022-12-25,2
597,(direct),(none),desktop,2022-12-24,2
838,(direct),(none),desktop,2022-12-23,1
954,(not set),(not set),desktop,2022-12-23,1
984,5lcue.r.bh.d.sendibt3.com,referral,desktop,2022-12-22,1
128,(direct),(none),desktop,2022-12-22,9
271,bimswarm.de,referral,desktop,2022-12-22,6
1067,bimswarm.de,referral,mobile,2022-12-21,1
81,bimswarm.de,referral,desktop,2022-12-21,11
888,(direct),(none),mobile,2022-12-21,1
88,(direct),(none),desktop,2022-12-21,10
953,(not set),(not set),desktop,2022-12-21,1
1327,planen-bauen40.de,referral,desktop,2022-12-20,1
983,5lcue.r.bh.d.sendibt3.com,referral,desktop,2022-12-20,1
477,(direct),(none),desktop,2022-12-20,3
1016,bimswarm.de,referral,desktop,2022-12-20,1
476,(direct),(none),desktop,2022-12-19,3
112,bimswarm.de,referral,desktop,2022-12-19,10
837,(direct),(none),desktop,2022-12-18,1
1326,planen-bauen40.de,referral,desktop,2022-12-18,1
887,(direct),(none),mobile,2022-12-17,1
415,bimswarm.de,referral,desktop,2022-12-17,4
1221,google,organic,desktop,2022-12-17,1
414,bimswarm.de,referral,desktop,2022-12-16,4
886,(direct),(none),mobile,2022-12-16,1
376,(direct),(none),desktop,2022-12-16,4
562,google,organic,desktop,2022-12-15,3
7,bimswarm.de,referral,desktop,2022-12-15,20
1115,bing,organic,desktop,2022-12-15,1
56,(direct),(none),desktop,2022-12-15,12
331,bimswarm.de,referral,desktop,2022-12-14,5
160,(direct),(none),desktop,2022-12-14,8
520,bimswarm.de,referral,desktop,2022-12-13,3
475,(direct),(none),desktop,2022-12-13,3
596,(direct),(none),desktop,2022-12-12,2
1220,google,organic,desktop,2022-12-12,1
999,baidu,organic,mobile,2022-12-12,1
223,bimswarm.de,referral,desktop,2022-12-12,7
1015,bimswarm.de,referral,desktop,2022-12-11,1
474,(direct),(none),desktop,2022-12-11,3
1014,bimswarm.de,referral,desktop,2022-12-10,1
473,(direct),(none),desktop,2022-12-09,3
222,bimswarm.de,referral,desktop,2022-12-09,7
812,planen-bauen40.de,referral,desktop,2022-12-09,2
561,google,organic,desktop,2022-12-09,3
811,planen-bauen40.de,referral,desktop,2022-12-08,2
80,bimswarm.de,referral,desktop,2022-12-08,11
1219,google,organic,desktop,2022-12-08,1
11,(direct),(none),desktop,2022-12-08,18
1346,statics.teams.cdn.office.net,referral,desktop,2022-12-08,1
54,bimswarm.de,referral,desktop,2022-12-07,13
1218,google,organic,desktop,2022-12-07,1
15,bimswarm.de,referral,desktop,2022-12-06,18
159,(direct),(none),desktop,2022-12-06,8
111,bimswarm.de,referral,desktop,2022-12-05,10
198,(direct),(none),desktop,2022-12-05,7
560,google,organic,desktop,2022-12-05,3
1307,neu.bimswarm.de,referral,desktop,2022-12-05,1
1013,bimswarm.de,referral,desktop,2022-12-04,1
1217,google,organic,desktop,2022-12-04,1
1012,bimswarm.de,referral,desktop,2022-12-03,1
836,(direct),(none),desktop,2022-12-03,1
244,(direct),(none),desktop,2022-12-02,6
1006,bimswarm.atlassian.net,referral,desktop,2022-12-02,1
270,bimswarm.de,referral,desktop,2022-12-02,6
952,(not set),(not set),desktop,2022-12-02,1
66,bimswarm.de,referral,desktop,2022-12-01,12
407,bimswarm.atlassian.net,referral,desktop,2022-12-01,4
87,(direct),(none),desktop,2022-12-01,10
513,bimswarm.atlassian.net,referral,desktop,2022-11-30,3
150,bimswarm.de,referral,desktop,2022-11-30,9
595,(direct),(none),desktop,2022-11-30,2
998,baidu,organic,mobile,2022-11-30,1
1066,bimswarm.de,referral,mobile,2022-11-30,1
110,bimswarm.de,referral,desktop,2022-11-29,10
770,google,organic,desktop,2022-11-29,2
821,statics.teams.cdn.office.net,referral,desktop,2022-11-29,2
74,(direct),(none),desktop,2022-11-29,11
127,(direct),(none),desktop,2022-11-28,9
109,bimswarm.de,referral,desktop,2022-11-28,10
1216,google,organic,desktop,2022-11-28,1
997,baidu,organic,mobile,2022-11-27,1
676,bimswarm.de,referral,desktop,2022-11-27,2
835,(direct),(none),desktop,2022-11-26,1
885,(direct),(none),mobile,2022-11-25,1
724,bimswarm.de,referral,mobile,2022-11-25,2
149,bimswarm.de,referral,desktop,2022-11-25,9
243,(direct),(none),desktop,2022-11-25,6
148,bimswarm.de,referral,desktop,2022-11-24,9
197,(direct),(none),desktop,2022-11-24,7
723,bimswarm.de,referral,mobile,2022-11-24,2
65,bimswarm.de,referral,desktop,2022-11-23,12
1215,google,organic,desktop,2022-11-23,1
242,(direct),(none),desktop,2022-11-23,6
156,bimswarm.de,referral,mobile,2022-11-22,9
293,google,organic,mobile,2022-11-22,6
23,bimswarm.de,referral,desktop,2022-11-22,17
126,(direct),(none),desktop,2022-11-22,9
1214,google,organic,desktop,2022-11-22,1
321,(direct),(none),mobile,2022-11-22,5
1005,bimswarm.atlassian.net,referral,desktop,2022-11-21,1
196,(direct),(none),desktop,2022-11-21,7
737,bing,organic,desktop,2022-11-21,2
221,bimswarm.de,referral,desktop,2022-11-21,7
834,(direct),(none),desktop,2022-11-20,1
675,bimswarm.de,referral,desktop,2022-11-20,2
330,bimswarm.de,referral,desktop,2022-11-19,5
594,(direct),(none),desktop,2022-11-19,2
472,(direct),(none),desktop,2022-11-18,3
179,bimswarm.de,referral,desktop,2022-11-18,8
1213,google,organic,desktop,2022-11-18,1
147,bimswarm.de,referral,desktop,2022-11-17,9
471,(direct),(none),desktop,2022-11-17,3
674,bimswarm.de,referral,desktop,2022-11-16,2
1212,google,organic,desktop,2022-11-16,1
375,(direct),(none),desktop,2022-11-16,4
6,bimswarm.de,referral,desktop,2022-11-15,20
125,(direct),(none),desktop,2022-11-15,9
668,bimswarm.atlassian.net,referral,desktop,2022-11-15,2
1065,bimswarm.de,referral,mobile,2022-11-15,1
449,google,organic,desktop,2022-11-14,4
